territoryName,totalMandates,availableMandates,numParishes,numParishesApproved,blankVotes,blankVotesPercentage,nullVotes,nullVotesPercentage,votersPercentage,subscribedVoters,totalVoters,pre.blankVotes,pre.blankVotesPercentage,pre.nullVotes,pre.nullVotesPercentage,pre.votersPercentage,pre.subscribedVoters,pre.totalVoters,Party,Mandates,Percentage,validVotesPercentage,Votes,Hondt,target,predict,real
16,10,8,55,52,7511,2.13,5422,1.54,53.58,657503,352316,6587,1.75,5575,1.48,58.22,646295,376244,12,0,0.9,0.93,3154,0,0,0,0
10,10,0,110,110,8202,3.67,5152,2.3,53.87,414969,223540,6902,2.89,4699,1.97,56.26,423801,238433,13,0,0.24,0.26,547,0,0,0,0
19,8,0,277,277,4995,2.81,3700,2.08,51.04,348061,177647,4235,2.22,3632,1.9,51.28,371931,190712,6,0,0.49,0.52,875,0,0,0,0
3,3,0,75,75,1371,2.13,1094,1.7,52.26,122987,64269,1230,1.65,1132,1.52,57.77,128926,74485,8,0,0.26,0.27,169,0,0,0,0
19,8,0,277,277,4995,2.81,3700,2.08,51.04,348061,177647,4235,2.22,3632,1.9,51.28,371931,190712,2,0,5.89,6.19,10462,0,0,0,0
5,0,3,226,216,880,2.02,1008,2.32,44.43,97941,43514,806,1.65,972,1.99,46.79,104615,48951,3,0,0.74,0.77,320,0,0,0,0
9,0,3,242,173,735,2.49,828,2.81,48.5,60818,29494,698,2.04,893,2.61,50.38,67834,34177,13,0,0.13,0.13,37,0,0,0,0
7,3,6,155,144,5421,3.48,3172,2.04,52.85,294388,155576,4662,2.75,2959,1.74,55.6,305189,169683,7,0,0.12,0.12,181,0,0,0,0
20,2,3,197,180,1722,2.23,1887,2.44,44.78,172537,77266,1451,1.69,1566,1.83,47.25,181320,85667,20,0,0.68,0.71,523,0,0,0,0
15,9,0,141,141,6022,2.91,4011,1.94,54.38,380489,206918,5142,2.26,3967,1.74,57.87,393314,227620,17,4,37.13,39.03,76836,4,1,1,1
4,14,5,347,344,14386,3.11,7986,1.73,59.79,773553,462528,10628,2.26,6078,1.29,60.16,783077,471137,15,6,34.0,35.72,157243,8,1,0,1
0,0,3,69,21,138,1.72,108,1.34,55.48,14494,8041,97,1.0,111,1.14,62.58,15541,9726,3,0,1.73,1.78,139,0,0,0,0
9,3,0,242,242,2026,2.64,2057,2.68,50.58,151535,76649,1689,1.98,1987,2.32,52.29,163462,85469,8,0,0.16,0.17,122,0,0,0,0
12,2,4,54,52,599,0.54,1994,1.78,50.11,223114,111803,859,0.8,3125,2.9,48.6,221905,107842,4,0,0.64,0.66,721,0,0,0,0
